exchange,coin,symbol,timestamp,best_bid,best_ask,mid_price,spread_bps
Orderly,,PERP_ETH_USDC,2026-06-01T18:10:57.605402+00:00,1984.61,1984.62,1984.6149999999998,0.05038760666421904
Hyperliquid,ETH,,2026-06-01T18:11:57.313494+00:00,1984.5,1984.6,1984.55,0.5038925701035956
Orderly,,PERP_ETH_USDC,2026-06-01T18:11:57.640312+00:00,1983.27,1983.28,1983.275,0.050421651056918
Hyperliquid,ETH,,2026-06-01T18:12:57.464397+00:00,1983.0,1983.1,1983.05,0.5042737197746353
Orderly,,PERP_ETH_USDC,2026-06-01T18:12:57.958175+00:00,1981.73,1981.74,1981.7350000000001,0.050460833562463725
Hyperliquid,ETH,,2026-06-01T18:13:57.585012+00:00,1984.2,1984.3,1984.25,0.5039687539367975
Orderly,,PERP_ETH_USDC,2026-06-01T18:13:57.919833+00:00,1982.93,1982.94,1982.935,0.05043029650488244
Hyperliquid,ETH,,2026-06-01T18:14:57.735845+00:00,1984.4,1984.5,1984.45,0.5039179621553027
Orderly,,PERP_ETH_USDC,2026-06-01T18:14:58.197647+00:00,1983.26,1983.27,1983.2649999999999,0.05042190529248943
Hyperliquid,ETH,,2026-06-01T18:15:57.831694+00:00,1984.4,1984.5,1984.45,0.5039179621553027
Orderly,,PERP_ETH_USDC,2026-06-01T18:15:58.198937+00:00,1983.31,1983.32,1983.315,0.05042063414026972
Hyperliquid,ETH,,2026-06-01T18:16:57.891838+00:00,1984.2,1984.3,1984.25,0.5039687539367975
Orderly,,PERP_ETH_USDC,2026-06-01T18:16:58.364761+00:00,1983.28,1983.29,1983.2849999999999,0.050421396823910364
Hyperliquid,ETH,,2026-06-01T18:17:57.922998+00:00,1983.0,1983.1,1983.05,0.5042737197746353
Orderly,,PERP_ETH_USDC,2026-06-01T18:17:58.547827+00:00,1981.91,1981.92,1981.915,0.05045625064642482
Hyperliquid,ETH,,2026-06-01T18:18:57.977116+00:00,1984.5,1984.6,1984.55,0.5038925701035956
